Region,Name,LATITUDE,LONGITUDE
Northern Morocco,Camping Miramonte,35.1681,-5.2610
Northern Morocco,Camping Al Boustane,35.5745,-5.3729
Northern Morocco,Camping International Moulay Bousselham,34.8791,-6.2871
Northern Morocco,Camping Azilan,35.1683,-5.2630
Northern Morocco,Camping Tahadart,35.6950,-5.7170
Northern Morocco,Camping Atlantique Parc,35.7676,-5.7945
Atlantic Coast,Camping Atlantica Imourane,30.5047,-9.6858
Atlantic Coast,Camping International Agadir,30.4001,-9.5800
Atlantic Coast,Camping Aourir,30.4650,-9.6336
Atlantic Coast,Camping Oued Massa,29.9933,-9.6594
Atlantic Coast,Camping Ait Bihi,30.5238,-9.6932
Atlantic Coast,Camping Auberge Essaouira,31.5085,-9.7593
Atlantic Coast,Camping Sidi Ifni,29.3848,-10.1729
Atlantic Coast,Camping Takat,29.6962,-9.7316
Central Morocco,Camping Ferdaous,31.6200,-7.9870
Central Morocco,Le Relais de Marrakech,31.6937,-8.0444
Central Morocco,Camping Ourika,31.3030,-7.7910
Central Morocco,Camping Zebra,30.9270,-6.9094
Central Morocco,Camping Amridil,31.0458,-6.4853
Central Morocco,Camping Meski,31.9317,-4.3451
Central Morocco,Camping Ait Benhaddou,31.0462,-7.1312
Southern Morocco,Camping Bivouac La Palmeraie,30.3478,-5.8412
Southern Morocco,Camping Serdrar,30.7350,-5.5753
Southern Morocco,Camping Palmeras de Tafraoute,29.7146,-8.9763
Southern Morocco,Auberge Camping Oasis,30.0672,-6.8918
Southern Morocco,Camping Municipal Tata,29.7427,-7.9742
Southern Morocco,Camping Les Amis,28.9930,-10.0632
Southern Morocco,Camping Borj Biramane,29.3180,-8.9720
Southern Morocco,Camping Kasbah Saidian,30.8258,-5.7207
Sahara Desert Region,Camping Haven La Chance,31.1003,-4.0009
Sahara Desert Region,Auberge Camping Sahara,31.1058,-4.0100
Sahara Desert Region,Desert Camp Erg Chigaga,29.8210,-5.8480
Sahara Desert Region,Camping La Source,31.1050,-4.0078
Sahara Desert Region,Camping Omar,31.1500,-4.0210
Sahara Desert Region,Camping Bedouin,31.1245,-4.0308
Anti-Atlas Region,Camping Takat,29.6962,-9.7316
Anti-Atlas Region,Camping Les Trois Palmiers,29.7136,-8.9787
Anti-Atlas Region,Camping Aourir Tafraoute,29.7146,-8.9763
Anti-Atlas Region,Camping Ksar Tafnidilt,29.3853,-9.1207
Anti-Atlas Region,Camping La Palmerie,30.0907,-8.4375
Anti-Atlas Region,Camping Tan-Tan Plage,28.4386,-11.1048
Rif Mountains,Camping Azilan,35.1683,-5.2630
Rif Mountains,Camping Ain Darahim,36.8000,-8.7000
Rif Mountains,Camping Asmaa,34.0486,-4.9765
Rif Mountains,Camping Smir,35.7500,-5.3333
Rif Mountains,Camping El Refugio,35.1690,-5.2700
Rif Mountains,Camping Rif,35.2540,-4.6280
